,Attended_Event,Times_Contacted,Days_to_Respond,Lead_Acquired,Total_Campaign_Cost,Marketing_Campaign_AutumnAwareness,Marketing_Campaign_SpringGrowth,Marketing_Campaign_SummerSales,Marketing_Campaign_WinterBoost,Marketing_Campaign_YearEndPush,Lead_State_CA,Lead_State_FL,Lead_State_GA,Lead_State_IL,Lead_State_MI,Lead_State_NC,Lead_State_NY,Lead_State_OH,Lead_State_PA,Lead_State_TX,Engagement_Level_High,Engagement_Level_Low,Engagement_Level_Medium,Engagement_Level_Very High,Campaign_Type_Hybrid,Campaign_Type_In-Person,Campaign_Type_Online,Lead_Type_Corporate,Lead_Type_Individual,Lead_Type_Non-Profit,bucket,predicted_number_of_lead,cost_to_acq,earned_profit,predicted_profit,predicted_acq_spent
28,0,3,4,0,3144.02,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,2,795.0,10361.884828242606,0.0,11637301.561547128,8237698.4384528715
29,1,3,8,0,6365.29,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,2,795.0,10361.884828242606,0.0,11637301.561547128,8237698.4384528715
30,1,2,13,0,2619.6400000000003,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1,2217.0,10933.084347907177,0.0,31186352.00068979,24238647.99931021
31,0,2,4,0,3315.72,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,0,1310.0,10625.682143811375,0.0,18830356.3916071,13919643.608392902
32,0,0,10,0,6089.1900000000005,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,1,2217.0,10933.084347907177,0.0,31186352.00068979,24238647.99931021
33,1,0,15,0,7485.43,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,3,2084.0,10489.153368009971,0.0,30240604.38106722,21859395.61893278
34,0,3,19,0,6587.6,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,2,795.0,10361.884828242606,0.0,11637301.561547128,8237698.4384528715
35,0,2,1,1,8917.79,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,4,741.0,10625.682143811375,16082.21,10651369.53143577,7873630.468564229
36,0,4,0,1,7581.1900000000005,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,2,795.0,10361.884828242606,17418.809999999998,11637301.561547128,8237698.4384528715
37,0,0,1,1,15069.57,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,1,2217.0,10933.084347907177,9930.43,31186352.00068979,24238647.99931021
38,1,2,3,1,20788.17,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,1,2217.0,10933.084347907177,4211.830000000002,31186352.00068979,24238647.99931021
39,0,3,12,0,5771.13,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,3,2084.0,10489.153368009971,0.0,30240604.38106722,21859395.61893278
40,1,3,5,0,5009.52,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,1,2217.0,10933.084347907177,0.0,31186352.00068979,24238647.99931021
41,0,2,6,1,13145.65,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,3,2084.0,10489.153368009971,11854.35,30240604.38106722,21859395.61893278
42,0,2,3,1,14973.18,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,1,2217.0,10933.084347907177,10026.82,31186352.00068979,24238647.99931021
43,1,4,9,0,4484.41,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,0,1310.0,10625.682143811375,0.0,18830356.3916071,13919643.608392902
44,1,2,2,1,6340.52,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,3,2084.0,10489.153368009971,18659.48,30240604.38106722,21859395.61893278
45,0,1,1,1,4820.74,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,1,2217.0,10933.084347907177,20179.260000000002,31186352.00068979,24238647.99931021
46,1,4,19,0,5369.99,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,1,2217.0,10933.084347907177,0.0,31186352.00068979,24238647.99931021
47,0,2,14,0,4116.84,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,3,2084.0,10489.153368009971,0.0,30240604.38106722,21859395.61893278
48,1,1,0,1,13956.1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,1,2217.0,10933.084347907177,11043.9,31186352.00068979,24238647.99931021
49,1,4,5,1,14806.54,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,2,795.0,10361.884828242606,10193.46,11637301.561547128,8237698.4384528715
50,0,1,3,1,17567.22,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,3,2084.0,10489.153368009971,7432.779999999999,30240604.38106722,21859395.61893278
51,0,3,0,1,10670.98,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,3,2084.0,10489.153368009971,14329.02,30240604.38106722,21859395.61893278
52,0,1,4,1,11449.96,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,3,2084.0,10489.153368009971,13550.04,30240604.38106722,21859395.61893278
53,0,2,5,0,6817.4,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,2,795.0,10361.884828242606,0.0,11637301.561547128,8237698.4384528715
54,0,5,2,1,12641.2,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,3,2084.0,10489.153368009971,12358.8,30240604.38106722,21859395.61893278
55,1,4,11,0,5165.45,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,3,2084.0,10489.153368009971,0.0,30240604.38106722,21859395.61893278
56,1,4,9,0,4998.29,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,2,795.0,10361.884828242606,0.0,11637301.561547128,8237698.4384528715
57,1,5,0,1,19251.67,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,4,741.0,10625.682143811375,5748.330000000002,10651369.53143577,7873630.468564229
58,0,1,13,0,3304.67,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1,2217.0,10933.084347907177,0.0,31186352.00068979,24238647.99931021
59,0,0,2,1,5911.9,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,4,741.0,10625.682143811375,19088.1,10651369.53143577,7873630.468564229
60,0,2,13,0,4084.0299999999997,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,4,741.0,10625.682143811375,0.0,10651369.53143577,7873630.468564229
61,0,3,3,0,9174.57,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,3,2084.0,10489.153368009971,0.0,30240604.38106722,21859395.61893278
62,0,4,4,1,9056.43,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,2,795.0,10361.884828242606,15943.57,11637301.561547128,8237698.4384528715
63,0,2,9,0,4132.42,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,0,1310.0,10625.682143811375,0.0,18830356.3916071,13919643.608392902
64,1,3,14,0,6933.63,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,4,741.0,10625.682143811375,0.0,10651369.53143577,7873630.468564229
65,0,6,2,0,5673.76,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,0,1310.0,10625.682143811375,0.0,18830356.3916071,13919643.608392902
66,1,3,4,0,2585.74,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,0,1310.0,10625.682143811375,0.0,18830356.3916071,13919643.608392902
67,1,5,0,1,3755.16,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,0,1310.0,10625.682143811375,21244.84,18830356.3916071,13919643.608392902
68,0,0,3,0,4551.58,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1,2217.0,10933.084347907177,0.0,31186352.00068979,24238647.99931021
69,1,3,9,0,7545.15,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,4,741.0,10625.682143811375,0.0,10651369.53143577,7873630.468564229
70,1,4,4,0,6199.65,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,3,2084.0,10489.153368009971,0.0,30240604.38106722,21859395.61893278
71,0,1,6,1,17864.66,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,4,741.0,10625.682143811375,7135.34,10651369.53143577,7873630.468564229
72,0,2,0,1,19181.71,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,2,795.0,10361.884828242606,5818.290000000001,11637301.561547128,8237698.4384528715
73,0,2,5,1,6646.19,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,1,2217.0,10933.084347907177,18353.81,31186352.00068979,24238647.99931021
74,0,3,16,0,3841.74,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,2,795.0,10361.884828242606,0.0,11637301.561547128,8237698.4384528715
75,1,1,4,1,6602.76,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,1,2217.0,10933.084347907177,18397.239999999998,31186352.00068979,24238647.99931021
76,1,3,7,1,5496.9400000000005,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,1,2217.0,10933.084347907177,19503.059999999998,31186352.00068979,24238647.99931021
77,1,0,6,1,14996.1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,4,741.0,10625.682143811375,10003.9,10651369.53143577,7873630.468564229
78,0,6,6,1,11554.66,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,3,2084.0,10489.153368009971,13445.34,30240604.38106722,21859395.61893278
79,0,4,1,1,6793.9,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,3,2084.0,10489.153368009971,18206.1,30240604.38106722,21859395.61893278
80,1,5,7,1,10864.58,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,1,2217.0,10933.084347907177,14135.42,31186352.00068979,24238647.99931021
81,0,2,0,1,11767.42,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,1,2217.0,10933.084347907177,13232.58,31186352.00068979,24238647.99931021
82,1,2,5,1,14174.47,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,3,2084.0,10489.153368009971,10825.53,30240604.38106722,21859395.61893278
83,0,1,0,1,6455.8099999999995,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,1,2217.0,10933.084347907177,18544.190000000002,31186352.00068979,24238647.99931021
84,1,4,3,0,4192.27,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,1,2217.0,10933.084347907177,0.0,31186352.00068979,24238647.99931021
85,1,0,18,0,2921.16,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,0,1310.0,10625.682143811375,0.0,18830356.3916071,13919643.608392902
86,0,2,5,1,13553.53,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,3,2084.0,10489.153368009971,11446.47,30240604.38106722,21859395.61893278
87,0,2,7,0,1512.08,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,3,2084.0,10489.153368009971,0.0,30240604.38106722,21859395.61893278
88,1,3,2,0,6494.110000000001,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,0,1310.0,10625.682143811375,0.0,18830356.3916071,13919643.608392902
89,1,1,5,0,3265.68,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,0,1310.0,10625.682143811375,0.0,18830356.3916071,13919643.608392902
90,0,3,6,1,16336.380000000001,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,3,2084.0,10489.153368009971,8663.619999999999,30240604.38106722,21859395.61893278
91,0,2,3,1,14429.369999999999,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,2,795.0,10361.884828242606,10570.630000000001,11637301.561547128,8237698.4384528715
92,0,2,8,0,6829.15,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,1,2217.0,10933.084347907177,0.0,31186352.00068979,24238647.99931021
93,1,4,6,1,9417.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,0,1310.0,10625.682143811375,15583.0,18830356.3916071,13919643.608392902
94,0,5,1,1,10311.65,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,3,2084.0,10489.153368009971,14688.35,30240604.38106722,21859395.61893278
95,0,1,15,0,4138.8099999999995,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,2,795.0,10361.884828242606,0.0,11637301.561547128,8237698.4384528715
96,1,1,15,0,4329.8,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,0,1310.0,10625.682143811375,0.0,18830356.3916071,13919643.608392902
97,0,0,0,1,15502.65,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,0,1310.0,10625.682143811375,9497.35,18830356.3916071,13919643.608392902
98,0,6,7,1,19074.05,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,1,2217.0,10933.084347907177,5925.950000000001,31186352.00068979,24238647.99931021
99,1,3,11,0,5464.75,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,4,741.0,10625.682143811375,0.0,10651369.53143577,7873630.468564229
100,1,1,4,1,13925.369999999999,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,0,1310.0,10625.682143811375,11074.630000000001,18830356.3916071,13919643.608392902
101,1,1,8,0,5111.09,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,0,1310.0,10625.682143811375,0.0,18830356.3916071,13919643.608392902
102,0,2,2,1,12268.869999999999,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,1,2217.0,10933.084347907177,12731.130000000001,31186352.00068979,24238647.99931021
103,0,2,4,1,9243.47,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,3,2084.0,10489.153368009971,15756.53,30240604.38106722,21859395.61893278
104,1,7,17,0,1762.59,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,3,2084.0,10489.153368009971,0.0,30240604.38106722,21859395.61893278
105,1,1,1,1,3797.1099999999997,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,3,2084.0,10489.153368009971,21202.89,30240604.38106722,21859395.61893278
106,1,0,5,0,4659.12,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,4,741.0,10625.682143811375,0.0,10651369.53143577,7873630.468564229
107,1,1,8,0,5993.95,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,1,2217.0,10933.084347907177,0.0,31186352.00068979,24238647.99931021
108,1,2,3,1,14976.47,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,2,795.0,10361.884828242606,10023.53,11637301.561547128,8237698.4384528715
109,0,3,3,1,9942.94,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,3,2084.0,10489.153368009971,15057.06,30240604.38106722,21859395.61893278
110,1,2,3,1,16723.42,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,4,741.0,10625.682143811375,8276.580000000002,10651369.53143577,7873630.468564229
111,0,6,16,0,4008.82,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,0,1310.0,10625.682143811375,0.0,18830356.3916071,13919643.608392902
112,1,4,5,1,6947.68,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,1,2217.0,10933.084347907177,18052.32,31186352.00068979,24238647.99931021
113,0,3,4,1,12472.49,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,3,2084.0,10489.153368009971,12527.51,30240604.38106722,21859395.61893278
114,1,5,7,1,9756.46,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,3,2084.0,10489.153368009971,15243.54,30240604.38106722,21859395.61893278
115,0,3,18,0,3928.8900000000003,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,1,2217.0,10933.084347907177,0.0,31186352.00068979,24238647.99931021
116,0,4,2,1,16929.4,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,0,1310.0,10625.682143811375,8070.5999999999985,18830356.3916071,13919643.608392902
117,0,3,6,1,19228.85,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,0,1310.0,10625.682143811375,5771.1500000000015,18830356.3916071,13919643.608392902
118,1,5,4,0,5071.72,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,0,1310.0,10625.682143811375,0.0,18830356.3916071,13919643.608392902
119,1,2,17,0,4208.18,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,3,2084.0,10489.153368009971,0.0,30240604.38106722,21859395.61893278
120,1,0,6,1,15551.72,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,3,2084.0,10489.153368009971,9448.28,30240604.38106722,21859395.61893278
121,1,6,2,1,16665.46,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,1,2217.0,10933.084347907177,8334.54,31186352.00068979,24238647.99931021
122,0,3,6,1,11510.02,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,2,795.0,10361.884828242606,13489.98,11637301.561547128,8237698.4384528715
123,1,5,3,0,9664.66,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,3,2084.0,10489.153368009971,0.0,30240604.38106722,21859395.61893278
124,0,3,8,0,4155.389999999999,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1,2217.0,10933.084347907177,0.0,31186352.00068979,24238647.99931021
125,1,4,17,0,5068.92,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,3,2084.0,10489.153368009971,0.0,30240604.38106722,21859395.61893278
126,1,4,10,0,3459.38,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,1,2217.0,10933.084347907177,0.0,31186352.00068979,24238647.99931021
127,1,2,13,0,6007.29,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,1,2217.0,10933.084347907177,0.0,31186352.00068979,24238647.99931021
128,0,4,5,1,9864.57,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,3,2084.0,10489.153368009971,15135.43,30240604.38106722,21859395.61893278
129,1,2,0,1,5086.25,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,1,2217.0,10933.084347907177,19913.75,31186352.00068979,24238647.99931021
