,Lead_ID,Lead_Type,Marketing_Campaign,Campaign_Type,Campaign_Cost,Attended_Event,Cost_to_Acquire_Lead,Times_Contacted,Days_to_Respond,Engagement_Level,Lead_State,Lead_Acquired
39,40,Individual,WinterBoost,Online,1145.13,0,4626.0,3,12,Low,TX,0
40,41,Individual,SpringGrowth,Online,1456.52,1,3553.0,3,5,High,FL,0
41,42,Individual,AutumnAwareness,Hybrid,3895.65,0,9250.0,2,6,Medium,FL,1
42,43,Individual,SummerSales,Hybrid,3669.18,0,11304.0,2,3,High,NC,1
43,44,Corporate,AutumnAwareness,Online,1868.41,1,2616.0,4,9,Medium,GA,0
44,45,Individual,WinterBoost,In-Person,3763.52,1,2577.0,2,2,Low,PA,1
45,46,Individual,YearEndPush,Online,2020.74,0,2800.0,1,1,Medium,PA,1
46,47,Individual,SpringGrowth,In-Person,3305.99,1,2064.0,4,19,High,PA,0
47,48,Individual,WinterBoost,In-Person,3370.84,0,746.0,2,14,Low,MI,0
48,49,Individual,SpringGrowth,Online,2106.1,1,11850.0,1,0,Low,TX,1
49,50,Individual,WinterBoost,Hybrid,2843.54,1,11963.0,4,5,Very High,PA,1
50,51,Non-Profit,WinterBoost,Online,1657.22,0,15910.0,1,3,Very High,MI,1
51,52,Corporate,WinterBoost,In-Person,2521.98,0,8149.0,3,0,Medium,IL,1
52,53,Corporate,SummerSales,In-Person,2768.96,0,8681.0,1,4,Low,NY,1
53,54,Corporate,AutumnAwareness,Online,2175.4,0,4642.0,2,5,High,FL,0
54,55,Individual,YearEndPush,Online,3003.2,0,9638.0,5,2,High,PA,1
55,56,Corporate,AutumnAwareness,Online,2235.45,1,2930.0,4,11,Low,FL,0
56,57,Individual,AutumnAwareness,In-Person,4704.29,1,294.0,4,9,Low,GA,0
57,58,Individual,SpringGrowth,In-Person,2646.67,1,16605.0,5,0,High,PA,1
58,59,Individual,SummerSales,Online,2059.67,0,1245.0,1,13,Very High,NC,0
59,60,Individual,SummerSales,Online,1882.9,0,4029.0,0,2,Medium,IL,1
60,61,Individual,WinterBoost,Online,1475.03,0,2609.0,2,13,Medium,PA,0
61,62,Individual,AutumnAwareness,In-Person,4783.57,0,4391.0,3,3,Medium,IL,0
62,63,Corporate,YearEndPush,In-Person,4296.43,0,4760.0,4,4,Medium,PA,1
63,64,Individual,SpringGrowth,Online,1949.42,0,2183.0,2,9,Medium,NC,0
64,65,Individual,SummerSales,Online,2093.63,1,4840.0,3,14,Very High,NC,0
65,66,Individual,WinterBoost,Online,2221.76,0,3452.0,6,2,Low,TX,0
66,67,Individual,YearEndPush,Online,2164.74,1,421.0,3,4,Medium,OH,0
67,68,Corporate,AutumnAwareness,Online,1892.16,1,1863.0,5,0,High,MI,1
68,69,Individual,YearEndPush,Online,2164.58,0,2387.0,0,3,Low,IL,0
69,70,Non-Profit,SummerSales,In-Person,4314.15,1,3231.0,3,9,Medium,NC,0
70,71,Corporate,SpringGrowth,Online,1354.65,1,4845.0,4,4,Low,NY,0
71,72,Individual,AutumnAwareness,Online,1790.66,0,16074.0,1,6,Medium,TX,1
72,73,Individual,SpringGrowth,In-Person,3969.71,0,15212.0,2,0,High,NC,1
73,74,Corporate,YearEndPush,In-Person,4301.19,0,2345.0,2,5,Low,GA,1
74,75,Corporate,YearEndPush,Online,2039.74,0,1802.0,3,16,Low,MI,0
75,76,Corporate,WinterBoost,Online,2070.76,1,4532.0,1,4,Low,FL,1
76,77,Corporate,AutumnAwareness,Hybrid,2669.94,1,2827.0,3,7,High,MI,1
77,78,Individual,YearEndPush,Online,2142.1,1,12854.0,0,6,Medium,OH,1
78,79,Individual,SummerSales,Online,1471.66,0,10083.0,6,6,Medium,GA,1
79,80,Individual,SummerSales,Hybrid,2038.9,0,4755.0,4,1,High,TX,1
80,81,Corporate,SpringGrowth,In-Person,4228.58,1,6636.0,5,7,Medium,IL,1
81,82,Individual,SummerSales,In-Person,3159.42,0,8608.0,2,0,Medium,TX,1
82,83,Individual,YearEndPush,Online,2423.47,1,11751.0,2,5,Medium,NC,1
83,84,Individual,SummerSales,Online,1718.81,0,4737.0,1,0,High,IL,1
84,85,Individual,AutumnAwareness,Online,1880.27,1,2312.0,4,3,Medium,FL,0
85,86,Individual,SpringGrowth,Online,1991.16,1,930.0,0,18,Medium,FL,0
86,87,Corporate,AutumnAwareness,Online,1815.53,0,11738.0,2,5,Medium,PA,1
87,88,Individual,YearEndPush,Online,1224.08,0,288.0,2,7,Medium,MI,0
88,89,Corporate,YearEndPush,Online,2342.11,1,4152.0,3,2,Medium,TX,0
89,90,Individual,SummerSales,In-Person,3074.68,1,191.0,1,5,Low,NY,0
90,91,Individual,WinterBoost,Hybrid,2403.38,0,13933.0,3,6,High,GA,1
91,92,Corporate,WinterBoost,In-Person,3432.37,0,10997.0,2,3,Low,PA,1
92,93,Corporate,YearEndPush,In-Person,2852.15,0,3977.0,2,8,High,FL,0
93,94,Individual,YearEndPush,Online,2249.0,1,7168.0,4,6,Very High,PA,1
94,95,Corporate,SpringGrowth,Online,2499.65,0,7812.0,5,1,Medium,MI,1
95,96,Individual,YearEndPush,Online,2127.81,0,2011.0,1,15,Medium,MI,0
96,97,Individual,YearEndPush,Online,1893.8,1,2436.0,1,15,High,GA,0
97,98,Individual,SpringGrowth,In-Person,2916.65,0,12586.0,0,0,Low,PA,1
98,99,Individual,AutumnAwareness,Hybrid,3069.05,0,16005.0,6,7,Medium,FL,1
99,100,Individual,AutumnAwareness,In-Person,3784.75,1,1680.0,3,11,Low,OH,0
100,101,Individual,SpringGrowth,Online,2201.37,1,11724.0,1,4,Low,NY,1
101,102,Individual,SpringGrowth,In-Person,3603.09,1,1508.0,1,8,High,NC,0
102,103,Individual,AutumnAwareness,Online,1812.87,0,10456.0,2,2,Medium,PA,1
103,104,Individual,AutumnAwareness,Online,2278.47,0,6965.0,2,4,Very High,IL,1
104,105,Corporate,AutumnAwareness,Online,1488.59,1,274.0,7,17,Low,MI,0
105,106,Individual,AutumnAwareness,Online,1799.11,1,1998.0,1,1,Medium,FL,1
106,107,Individual,SummerSales,In-Person,4086.12,1,573.0,0,5,Low,FL,0
107,108,Corporate,SpringGrowth,Online,2461.95,1,3532.0,1,8,High,FL,0
108,109,Individual,WinterBoost,Online,1916.47,1,13060.0,2,3,Medium,NC,1
109,110,Individual,SummerSales,Online,2380.94,0,7562.0,3,3,High,OH,1
110,111,Individual,WinterBoost,Online,1770.42,1,14953.0,2,3,Medium,FL,1
111,112,Individual,WinterBoost,Hybrid,3639.82,0,369.0,6,16,High,NC,0
112,113,Corporate,YearEndPush,Hybrid,2503.68,1,4444.0,4,5,Medium,CA,1
113,114,Corporate,SpringGrowth,Hybrid,3020.49,0,9452.0,3,4,High,FL,1
114,115,Individual,SummerSales,Online,2400.46,1,7356.0,5,7,Medium,PA,1
115,116,Corporate,SpringGrowth,Online,1784.89,0,2144.0,3,18,Low,MI,0
116,117,Corporate,AutumnAwareness,Hybrid,3433.4,0,13496.0,4,2,Low,NY,1
117,118,Individual,SpringGrowth,Hybrid,2316.85,0,16912.0,3,6,Medium,OH,1
118,119,Corporate,WinterBoost,Online,1776.72,1,3295.0,5,4,Low,GA,0
119,120,Individual,AutumnAwareness,In-Person,3415.18,1,793.0,2,17,Medium,OH,0
120,121,Corporate,SpringGrowth,Online,1646.72,1,13905.0,0,6,Medium,NC,1
121,122,Corporate,SpringGrowth,Hybrid,2513.46,1,14152.0,6,2,Medium,MI,1
122,123,Individual,WinterBoost,Online,2172.02,0,9338.0,3,6,Low,CA,1
123,124,Individual,AutumnAwareness,In-Person,5093.66,1,4571.0,5,3,High,GA,0
124,125,Individual,WinterBoost,Online,2640.39,0,1515.0,3,8,Low,CA,0
125,126,Individual,SpringGrowth,Online,2885.92,1,2183.0,4,17,Very High,NC,0
126,127,Corporate,SummerSales,Online,2124.38,1,1335.0,4,10,Very High,OH,0
127,128,Corporate,SummerSales,Online,1940.29,1,4067.0,2,13,High,GA,0
128,129,Individual,YearEndPush,Online,2287.57,0,7577.0,4,5,Medium,TX,1
129,130,Individual,SummerSales,In-Person,3451.25,1,1635.0,2,0,Low,TX,1
130,131,Individual,AutumnAwareness,Online,1908.65,0,2071.0,2,2,Medium,IL,0
131,132,Individual,YearEndPush,In-Person,4148.91,1,233.0,5,15,Low,OH,0
132,133,Individual,AutumnAwareness,Online,1625.79,0,3012.0,3,12,High,CA,0
133,134,Individual,SummerSales,Online,2393.99,0,4885.0,6,19,Low,TX,0
134,135,Corporate,SummerSales,In-Person,3387.28,0,10792.0,1,5,High,NY,1
135,136,Individual,SpringGrowth,Online,1850.99,0,940.0,2,6,Low,FL,0
136,137,Individual,AutumnAwareness,Hybrid,3805.98,1,11563.0,5,2,Low,PA,1
137,138,Corporate,WinterBoost,In-Person,5009.54,1,1561.0,4,16,Low,NY,0
138,139,Individual,SpringGrowth,In-Person,4882.96,0,3572.0,2,8,Low,OH,0
139,140,Non-Profit,AutumnAwareness,Online,2439.16,0,4943.0,2,15,High,PA,0
140,141,Non-Profit,YearEndPush,Online,1972.72,1,2975.0,8,9,High,GA,0
141,142,Individual,AutumnAwareness,Hybrid,3162.61,1,2609.0,5,5,Medium,TX,0
142,143,Individual,YearEndPush,Online,2260.1,1,5533.0,1,2,Low,CA,1
143,144,Individual,YearEndPush,In-Person,4525.38,0,8200.0,2,7,Low,TX,1
144,145,Individual,SummerSales,Online,1946.42,1,1065.0,6,4,Medium,TX,0
145,146,Individual,WinterBoost,Online,1713.5,1,2138.0,2,13,Low,FL,0
146,147,Individual,AutumnAwareness,In-Person,3019.52,1,5613.0,2,7,High,TX,1
147,148,Individual,WinterBoost,Hybrid,2426.2,1,4340.0,5,19,Low,MI,0
148,149,Individual,YearEndPush,Online,1941.39,0,1950.0,4,16,High,NY,0
149,150,Individual,SummerSales,Online,1834.93,1,834.0,1,12,Medium,NC,0
150,151,Corporate,WinterBoost,In-Person,4461.13,0,2553.0,4,12,Low,MI,0
151,152,Individual,SpringGrowth,Online,1712.85,1,3116.0,2,13,Medium,NY,0
152,153,Individual,YearEndPush,Online,1592.1,1,3102.0,3,18,Low,PA,0
153,154,Individual,SpringGrowth,Online,1671.6,1,15678.0,6,0,Low,TX,1
154,155,Non-Profit,WinterBoost,Online,1748.23,0,13704.0,4,4,Very High,OH,1
155,156,Individual,WinterBoost,In-Person,4556.12,0,2415.0,1,7,High,PA,0
156,157,Individual,WinterBoost,Hybrid,4355.37,0,8046.0,3,4,Medium,FL,1
157,158,Corporate,AutumnAwareness,Online,1671.04,1,4103.0,1,9,Low,TX,0
158,159,Individual,YearEndPush,Online,2590.74,1,9896.0,2,1,High,TX,1
159,160,Corporate,YearEndPush,Online,2125.32,0,6094.0,0,7,Low,NC,1
160,161,Individual,YearEndPush,Online,1422.83,0,12063.0,2,4,Medium,MI,1
161,162,Individual,AutumnAwareness,Online,1231.85,0,2413.0,2,16,High,TX,0
162,163,Individual,WinterBoost,In-Person,4524.81,1,14382.0,5,3,Medium,IL,1
163,164,Individual,WinterBoost,Online,1731.2,1,4723.0,5,11,Low,CA,0
164,165,Individual,SpringGrowth,In-Person,4817.94,1,2061.0,1,7,Medium,NY,1
165,166,Corporate,AutumnAwareness,Hybrid,3310.97,0,6900.0,0,7,Medium,NY,1
166,167,Individual,SummerSales,In-Person,3991.75,0,8833.0,3,3,Medium,CA,1
167,168,Individual,AutumnAwareness,Online,2098.8,0,4814.0,3,7,Very High,MI,1
168,169,Individual,SpringGrowth,Online,2185.24,1,3263.0,0,16,Medium,FL,0
169,170,Individual,SpringGrowth,Online,1960.44,0,3419.0,2,13,Low,OH,0
170,171,Individual,SpringGrowth,In-Person,3698.99,1,3561.0,2,12,Low,TX,0
171,172,Individual,WinterBoost,Hybrid,2358.98,0,5460.0,5,7,High,OH,1
172,173,Individual,SummerSales,In-Person,5556.72,0,12218.0,4,1,Low,IL,1
173,174,Individual,SpringGrowth,Online,2073.71,0,3711.0,3,2,Low,OH,1
174,175,Individual,YearEndPush,Online,2009.91,0,529.0,6,19,Medium,FL,0
175,176,Individual,WinterBoost,Hybrid,3131.76,0,3871.0,5,7,Very High,OH,1
176,177,Individual,SummerSales,In-Person,5635.56,0,16386.0,4,1,Medium,TX,1
177,178,Individual,YearEndPush,In-Person,5097.35,1,8474.0,2,0,Medium,FL,1
178,179,Corporate,SummerSales,Online,1767.59,0,3088.0,5,6,Medium,NC,0
179,180,Individual,SummerSales,Online,2636.13,1,14427.0,1,1,Very High,TX,1
180,181,Individual,YearEndPush,Online,1750.25,1,3896.0,1,13,Medium,CA,0
181,182,Individual,AutumnAwareness,Hybrid,3528.11,1,15714.0,5,1,Low,OH,1
182,183,Corporate,SummerSales,Hybrid,3665.59,1,1696.0,3,6,Medium,CA,0
183,184,Corporate,AutumnAwareness,Online,1576.94,0,3462.0,0,11,Low,TX,0
184,185,Individual,SummerSales,In-Person,2429.11,1,4181.0,4,5,High,TX,1
185,186,Individual,YearEndPush,Online,2768.71,0,2450.0,6,15,Low,NY,0
186,187,Corporate,SummerSales,Online,1997.8,0,4306.0,1,3,Very High,GA,1
187,188,Individual,SpringGrowth,Online,1930.23,0,1879.0,4,17,Medium,MI,0
188,189,Individual,SpringGrowth,Online,1867.74,0,4088.0,3,6,Low,NC,0
189,190,Individual,SummerSales,Online,1475.75,1,13461.0,4,0,Medium,IL,1
190,191,Individual,YearEndPush,Online,2424.55,0,3755.0,6,5,Medium,IL,1
191,192,Corporate,YearEndPush,In-Person,3883.93,1,2548.0,5,12,Low,IL,0
192,193,Corporate,WinterBoost,Online,1942.24,1,2970.0,2,9,Low,MI,0
193,194,Individual,YearEndPush,In-Person,3907.98,0,3010.0,2,19,Low,GA,0
194,195,Individual,AutumnAwareness,Online,1764.06,1,14102.0,1,0,Low,PA,1
195,196,Individual,SummerSales,In-Person,3525.3,1,16139.0,3,1,High,OH,1
196,197,Corporate,SpringGrowth,Hybrid,3204.42,0,4713.0,2,13,Low,MI,0
197,198,Corporate,YearEndPush,Online,2359.33,0,4360.0,2,14,Low,NC,0
198,199,Corporate,SpringGrowth,Online,1411.14,0,10592.0,2,7,High,OH,1
199,200,Corporate,WinterBoost,Online,1758.08,0,2172.0,0,19,Very High,IL,0
200,201,Individual,SummerSales,Online,2350.33,0,3907.0,1,16,Medium,GA,0
201,202,Individual,YearEndPush,Online,2866.4,1,7882.0,4,5,Medium,GA,1
202,203,Individual,SpringGrowth,Online,2092.63,1,4324.0,3,16,Low,IL,0
203,204,Corporate,YearEndPush,In-Person,5641.63,0,2964.0,7,13,Medium,FL,0
204,205,Individual,WinterBoost,Online,1873.3,1,11442.0,1,5,Medium,TX,1
205,206,Individual,SpringGrowth,Online,1718.63,1,3718.0,1,10,Low,MI,0
206,207,Individual,SpringGrowth,Online,1907.84,0,6399.0,2,0,Medium,NC,1
207,208,Individual,SummerSales,Online,3184.07,0,1117.0,5,13,Medium,FL,0
208,209,Individual,SummerSales,In-Person,2970.04,1,4790.0,1,6,Medium,TX,0
209,210,Individual,SpringGrowth,Online,2237.09,1,1432.0,2,11,Low,GA,0
210,211,Individual,SummerSales,Hybrid,2885.37,0,2583.0,1,8,High,OH,0
211,212,Individual,SpringGrowth,Online,2044.15,1,12987.0,2,0,High,FL,1
212,213,Individual,AutumnAwareness,Online,2050.96,0,281.0,3,12,Medium,FL,0
213,214,Individual,YearEndPush,Online,2652.95,1,4939.0,3,9,Low,GA,0
214,215,Corporate,AutumnAwareness,Online,2057.34,0,1938.0,2,8,Medium,MI,0
215,216,Individual,AutumnAwareness,In-Person,2806.11,0,4659.0,2,4,Low,MI,1
216,217,Individual,YearEndPush,Hybrid,2862.49,0,2551.0,4,17,Medium,MI,0
217,218,Corporate,SpringGrowth,Online,2055.33,1,2052.0,4,17,Medium,OH,0
218,219,Individual,SpringGrowth,In-Person,4114.61,0,7156.0,5,6,Medium,OH,1
219,220,Corporate,SummerSales,Online,1931.0,0,4800.0,4,15,Medium,NC,0
220,221,Individual,WinterBoost,Online,1616.23,1,362.0,6,16,Low,PA,0
221,222,Individual,SpringGrowth,Online,2025.61,0,760.0,2,10,Medium,CA,0
222,223,Individual,YearEndPush,Hybrid,3619.3,1,2952.0,6,0,Medium,CA,1
223,224,Individual,WinterBoost,Online,1491.9,0,10935.0,5,5,Low,NC,1
224,225,Individual,YearEndPush,Online,2504.97,0,3822.0,1,2,Medium,NC,1
225,226,Individual,YearEndPush,Online,1419.18,0,11362.0,3,0,Medium,FL,1
226,227,Non-Profit,YearEndPush,In-Person,3736.59,0,11719.0,5,3,Low,FL,1
227,228,Individual,WinterBoost,In-Person,4053.47,1,8597.0,1,4,High,NY,1
228,229,Corporate,AutumnAwareness,Online,2400.0,1,1415.0,2,17,Low,TX,0
229,230,Individual,YearEndPush,Hybrid,2784.53,1,3268.0,4,3,Medium,PA,1
230,231,Corporate,SummerSales,Hybrid,2813.35,0,3019.0,3,17,Medium,IL,0
231,232,Individual,SpringGrowth,In-Person,3625.92,1,2294.0,3,6,Low,NC,0
232,233,Individual,SpringGrowth,In-Person,2041.28,1,2172.0,1,4,High,PA,0
233,234,Individual,SpringGrowth,In-Person,4146.85,0,2119.0,5,14,Medium,GA,0
234,235,Individual,WinterBoost,Online,1930.88,1,2840.0,9,9,Low,GA,0
235,236,Corporate,SummerSales,Online,2192.08,1,915.0,8,18,Medium,NY,0
236,237,Individual,SummerSales,Online,2155.07,1,4877.0,2,6,Medium,TX,0
237,238,Individual,SummerSales,Hybrid,3006.47,0,3518.0,3,7,Low,NY,0
238,239,Individual,SummerSales,In-Person,4271.24,1,4197.0,3,3,Medium,MI,0
239,240,Individual,SummerSales,Online,2515.52,0,7596.0,0,6,Medium,NC,1
240,241,Corporate,AutumnAwareness,Online,1849.27,1,3817.0,6,15,Low,PA,0
241,242,Non-Profit,SummerSales,In-Person,5124.87,1,6685.0,1,3,Medium,NC,1
242,243,Corporate,SummerSales,In-Person,5369.01,0,13355.0,4,2,High,TX,1
243,244,Individual,WinterBoost,Online,1380.6,1,4834.0,3,5,Medium,FL,0
244,245,Individual,WinterBoost,Online,1940.12,0,15234.0,2,7,Medium,MI,1
245,246,Corporate,SummerSales,Online,1879.62,0,3729.0,2,4,Medium,CA,0
246,247,Individual,AutumnAwareness,Hybrid,2746.44,1,11994.0,1,4,Medium,PA,1
247,248,Non-Profit,SummerSales,In-Person,4533.84,0,2853.0,1,10,Low,NC,0
248,249,Non-Profit,SummerSales,Hybrid,3861.07,0,15960.0,2,6,Medium,NC,1
249,250,Corporate,SummerSales,Online,1311.45,0,2669.0,5,1,Low,TX,1
250,251,Individual,YearEndPush,In-Person,3411.8,1,6210.0,1,5,Medium,NY,1
251,252,Individual,AutumnAwareness,Online,1848.05,1,3467.0,3,19,High,CA,0
252,253,Corporate,SpringGrowth,Online,1797.95,1,4785.0,1,13,Medium,OH,0
253,254,Individual,SummerSales,Online,1374.03,1,301.0,4,10,Low,FL,0
254,255,Individual,SpringGrowth,Hybrid,3209.67,0,12124.0,6,5,Low,IL,1
255,256,Individual,AutumnAwareness,In-Person,4654.82,1,1104.0,4,19,Low,MI,0
256,257,Corporate,SummerSales,Online,2425.35,1,8090.0,3,0,High,MI,1
257,258,Individual,SpringGrowth,Hybrid,3187.79,1,1886.0,3,5,Low,TX,1
258,259,Individual,SpringGrowth,Online,1592.18,0,3930.0,2,2,Medium,CA,1
259,260,Individual,AutumnAwareness,In-Person,2223.15,0,13040.0,4,5,Medium,NC,1
260,261,Individual,SummerSales,In-Person,4385.74,0,1412.0,2,14,Medium,IL,0
261,262,Non-Profit,YearEndPush,In-Person,4241.98,1,2125.0,6,15,Medium,IL,0
262,263,Individual,AutumnAwareness,In-Person,4800.91,0,2905.0,3,2,Low,CA,1
263,264,Individual,YearEndPush,Online,1327.74,0,1623.0,2,1,Medium,NC,1
264,265,Corporate,SummerSales,Hybrid,2429.27,0,5497.0,2,7,Low,NY,1
265,266,Corporate,SpringGrowth,Online,2436.41,1,7409.0,3,2,Low,NY,1
266,267,Individual,AutumnAwareness,Online,2416.45,0,16970.0,4,1,High,CA,1
267,268,Corporate,AutumnAwareness,Online,2228.99,0,13144.0,1,1,Medium,GA,1
268,269,Individual,AutumnAwareness,Online,2476.08,0,5396.0,3,1,Low,TX,1
269,270,Individual,WinterBoost,Online,1904.5,0,3233.0,2,11,Low,NY,0
270,271,Corporate,SummerSales,In-Person,4329.89,1,3673.0,2,4,Medium,NY,0
271,272,Corporate,WinterBoost,Online,2097.01,1,11316.0,4,2,High,NC,1
272,273,Corporate,AutumnAwareness,Online,2507.72,0,9566.0,1,6,Low,IL,1
273,274,Corporate,AutumnAwareness,In-Person,5046.78,0,10873.0,2,1,Low,NY,1
274,275,Individual,YearEndPush,In-Person,4822.5,0,2227.0,3,7,Low,MI,1
275,276,Individual,WinterBoost,Online,2631.57,1,8539.0,3,6,Low,FL,1
276,277,Corporate,SpringGrowth,In-Person,3252.15,0,13576.0,1,2,Medium,CA,1
277,278,Individual,SummerSales,Online,2324.04,1,9215.0,1,7,Low,CA,1
278,279,Corporate,SpringGrowth,Online,1528.04,0,4321.0,1,8,Low,CA,0
279,280,Corporate,SpringGrowth,Online,2227.97,0,5170.0,4,4,High,IL,1
280,281,Corporate,SummerSales,In-Person,5195.41,1,2641.0,3,7,Medium,TX,1
281,282,Individual,AutumnAwareness,Online,2103.22,1,3771.0,1,19,Medium,FL,0
282,283,Individual,YearEndPush,Online,2349.02,1,12067.0,3,1,Medium,FL,1
283,284,Individual,AutumnAwareness,In-Person,4073.03,1,5531.0,4,2,Medium,NY,1
284,285,Individual,AutumnAwareness,In-Person,3954.76,1,1896.0,6,17,High,PA,0
285,286,Individual,WinterBoost,Online,1953.38,0,16529.0,3,2,Medium,PA,1
286,287,Individual,SpringGrowth,Online,1965.67,0,4374.0,1,18,Medium,PA,0
287,288,Individual,SpringGrowth,In-Person,4263.52,1,1704.0,0,7,Medium,GA,0
288,289,Individual,SpringGrowth,In-Person,4088.7,0,2002.0,4,13,High,MI,0
289,290,Individual,YearEndPush,Online,1836.12,1,16927.0,1,6,Low,TX,1
290,291,Individual,YearEndPush,Online,2255.65,0,10050.0,3,2,Low,TX,1
291,292,Individual,YearEndPush,In-Person,4293.16,1,4099.0,2,4,Medium,OH,0
292,293,Corporate,SummerSales,In-Person,4094.84,1,4688.0,2,4,Low,IL,0
293,294,Individual,YearEndPush,In-Person,2535.61,0,3604.0,3,19,Medium,FL,0
294,295,Individual,WinterBoost,In-Person,4740.62,1,16838.0,1,0,High,NY,1
295,296,Individual,WinterBoost,Online,2754.25,1,2719.0,7,12,Low,FL,0
296,297,Corporate,AutumnAwareness,In-Person,4913.95,0,5242.0,4,6,High,IL,1
297,298,Individual,AutumnAwareness,Online,2770.59,0,2449.0,0,7,Medium,IL,0
298,299,Individual,AutumnAwareness,Online,2182.56,0,4464.0,5,6,Low,PA,0
299,300,Individual,AutumnAwareness,Hybrid,2479.84,1,4344.0,6,6,Low,FL,1
300,301,Individual,WinterBoost,Hybrid,2291.52,0,14230.0,3,0,Low,CA,1
301,302,Individual,AutumnAwareness,In-Person,5166.84,1,3711.0,4,1,Low,FL,1
302,303,Individual,WinterBoost,Online,1854.03,1,4819.0,1,14,Medium,PA,0
303,304,Individual,YearEndPush,In-Person,3512.03,1,2472.0,2,5,Low,CA,1
304,305,Corporate,YearEndPush,In-Person,3507.49,0,1860.0,9,4,High,PA,1
305,306,Non-Profit,SummerSales,Online,1990.0,0,4132.0,3,5,High,TX,1
306,307,Individual,AutumnAwareness,In-Person,2854.87,1,2772.0,4,6,Medium,MI,0
307,308,Individual,YearEndPush,Online,2484.1,1,918.0,1,4,Medium,TX,0
308,309,Corporate,YearEndPush,Online,1904.91,1,4690.0,1,1,Low,PA,1
309,310,Individual,SpringGrowth,In-Person,3030.95,0,6448.0,2,3,Medium,MI,1
310,311,Individual,SpringGrowth,Hybrid,2681.66,0,2777.0,4,18,Low,OH,0
311,312,Individual,WinterBoost,In-Person,4329.11,0,647.0,1,4,High,TX,0
312,313,Individual,SummerSales,In-Person,4400.66,0,4532.0,6,16,High,OH,0
313,314,Non-Profit,SpringGrowth,Online,737.93,0,16846.0,2,3,Very High,OH,1
